"","survey_id","prepost","questionnaire","item_nbr","item_id","response","subscale","subscale_item_nbr","timestamp","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","current_grade","ap_science_enrolled","score"
"102",139,"pre","ssi",2,"c1","Strongly agree","Competence","1",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"103",139,"pre","ssi",3,"r1","Strongly agree","Recognition","1",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"104",139,"pre","ssi",4,"i1","Strongly agree","Interest","1",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"105",139,"pre","ssi",5,"i2","Strongly agree","Interest","2",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"106",139,"pre","ssi",6,"i3","Strongly agree","Interest","3",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"107",139,"pre","ssi",7,"p3","Somewhat agree","Peformance","3",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"108",139,"pre","ssi",8,"r2","Somewhat agree","Recognition","2",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"109",139,"pre","ssi",9,"c3","Somewhat agree","Competence","3",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"110",139,"pre","ssi",10,"p4","Strongly agree","Peformance","4",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"111",139,"pre","ssi",11,"r3","Strongly agree","Recognition","3",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"112",139,"pre","ssi",12,"i5","Strongly agree","Interest","5",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"113",139,"pre","ssi",13,"r4","Strongly agree","Recognition","4",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"114",139,"pre","ssi",14,"i6","Strongly agree","Interest","6",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"115",139,"pre","ssi",15,"c5","Strongly agree","Competence","5",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"116",139,"pre","ssi",16,"c6","Strongly agree","Competence","6",2025-10-03 10:13:05.47,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"117",139,"post","feelings_change_after_sciexpo",NA,NA,"did not attend the expo","feelings_change_after_sciexpo",NA,2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",NA
"118",139,"post","likely_become_scientist",NA,NA,"Extremely likely","likely_become_scientist",NA,2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"119",139,"post","represented_in_science",NA,NA,"Completely represented","represented_in_science",NA,2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"120",139,"post","sciexpo_most_valuable_aspects",NA,NA,NA,"sciexpo_most_valuable_aspects",NA,2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",NA
"121",139,"post","sciexpo_other_comments",NA,NA,NA,"sciexpo_other_comments",NA,2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",NA
"122",139,"post","sciexpo_what_to_improve",NA,NA,NA,"sciexpo_what_to_improve",NA,2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",NA
"123",139,"post","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"124",139,"post","ssi",2,"c1","Strongly agree","Competence","1",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"125",139,"post","ssi",3,"r1","Strongly agree","Recognition","1",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
